file;revisions;refactorings;bugfixes;authors;locAdded;locRemoved;maxLocAdded;maxLocRemoved;avgLocAdded;avgLogRemoved;codeChurn;maxChangeset;avgChangeset;firstCommit;lastCommit;weeks
flume-core/src/main/java/com/cloudera/util/consistenthash/MoveHandler.java;3;0;0;2;62;0;31;0;20.666666666666668;0.0;62;754;648.3333333333334;2011-08-02;2012-07-08;48
flume-ng-channels/flume-file-channel/src/test/java/org/apache/flume/channel/file/TestFlumeEventQueue.java;13;0;0;4;1159;307;167;89;89.15384615384616;23.615384615384617;1466;141;25.923076923076923;2012-05-05;2016-06-30;216
flume-core/src/test/java/com/cloudera/flume/agent/diskfailover/TestDiskFailoverSource.java;4;0;1;2;850;30;410;25;212.5;7.5;880;754;486.75;2011-08-02;2012-07-08;48
src/javatest-torture/com/cloudera/flume/faults/FileHandleHog.java;2;0;0;2;122;0;61;0;61.0;0.0;122;754;649.5;2011-08-02;2012-07-08;48
flume-core/src/test/java/com/cloudera/flume/reporter/TestHierarchicalReports.java;7;0;1;2;380;58;161;28;54.285714285714285;8.285714285714286;438;754;294.42857142857144;2011-08-02;2012-07-08;48
flume-core/src/test/java/com/cloudera/flume/handlers/debug/TestInsistentAppend.java;3;0;0;2;128;0;64;0;42.666666666666664;0.0;128;754;502.3333333333333;2011-08-02;2012-07-08;48
flume-ng-core/src/main/java/org/apache/flume/annotations/InterfaceStability.java;4;0;0;2;166;0;55;0;41.5;0.0;166;244;75.25;2012-11-06;2016-06-26;189
flume-ng-core/src/main/java/org/apache/flume/instrumentation/util/JMXPollUtil.java;3;0;0;3;175;11;84;11;58.333333333333336;3.6666666666666665;186;244;103.66666666666667;2012-08-14;2016-06-26;201
flume-core/src/test/java/com/cloudera/flume/master/flow/TestFailoverFlowConfigManager.java;6;1;1;2;388;26;185;16;64.66666666666667;4.333333333333333;414;754;252.83333333333334;2011-08-02;2012-07-08;48
flume-ng-core/src/main/java/org/apache/flume/core/MessageDeliveryException.java;1;0;2;1;23;0;23;0;23.0;0.0;23;27;27.0;2011-08-12;2011-08-12;0
flume-core/src/main/java/com/cloudera/flume/handlers/endtoend/CollectorAckListener.java;4;0;0;2;103;3;50;3;25.75;0.75;106;754;527.5;2011-08-02;2012-07-08;48
flume-core/src/main/java/com/cloudera/flume/master/Translator.java;3;0;0;2;86;0;43;0;28.666666666666668;0.0;86;754;648.3333333333334;2011-08-02;2012-07-08;48
flume-microbenchmarks/src/test/java/com/cloudera/flume/agent/BenchmarkBasicDecos.java;5;0;0;2;107;5;51;4;21.4;1.0;112;754;298.6;2011-08-02;2012-07-08;48
flume-ng-sinks/flume-ng-hbase-sink/src/test/java/org/apache/flume/sink/hbase/MockSimpleHbaseEventSerializer.java;2;0;0;1;76;0;38;0;38.0;0.0;76;3;3.0;2014-01-16;2014-01-16;0
flume-core/src/test/java/com/cloudera/flume/handlers/syslog/TestSyslogWireExtractor.java;5;0;0;2;294;10;142;10;58.8;2.0;304;754;400.8;2011-08-02;2012-07-08;48
flume-core/src/test/java/dk/brics/automaton/TestAutomaton.java;4;0;0;2;122;4;59;4;30.5;1.0;126;754;500.25;2011-08-02;2012-07-08;48
flume-ng-sinks/flume-ng-elasticsearch-sink/src/main/java/org/apache/flume/sink/elasticsearch/EventSerializerIndexRequestBuilderFactory.java;3;0;0;1;139;1;69;1;46.333333333333336;0.3333333333333333;140;244;87.33333333333333;2013-05-10;2016-06-26;163
flume-ng-core/src/main/java/org/apache/flume/instrumentation/kafka/KafkaSinkCounterMBean.java;2;0;0;1;96;0;48;0;48.0;0.0;96;12;12.0;2015-01-17;2015-01-17;0
flume-tools/src/main/java/org/apache/flume/tools/FileChannelIntegrityTool.java;9;0;2;3;524;55;142;45;58.22222222222222;6.111111111111111;579;244;38.888888888888886;2013-06-13;2016-06-26;158
flume-core/src/main/java/com/cloudera/util/dirwatcher/DirChangeHandler.java;3;0;0;2;76;0;38;0;25.333333333333332;0.0;76;754;470.0;2011-08-02;2012-07-08;48
flume-core/src/test/java/com/cloudera/flume/handlers/hdfs/TestEscapedCustomOutputDfs.java;14;0;2;4;802;326;238;230;57.285714285714285;23.285714285714285;1128;754;152.64285714285714;2011-08-02;2012-07-08;48
flume-core/src/test/java/com/cloudera/flume/conf/TestPatternMatch.java;6;0;0;2;669;15;327;11;111.5;2.5;684;754;327.8333333333333;2011-08-02;2012-07-08;48
flume-ng-configuration/src/main/java/org/apache/flume/conf/ComponentConfigurationFactory.java;7;0;0;4;118;35;74;8;16.857142857142858;5.0;153;244;50.714285714285715;2012-04-23;2016-06-26;217
flume-ng-core/src/main/java/org/apache/flume/source/BasicSourceSemantics.java;3;0;0;2;300;5;148;5;100.0;1.6666666666666667;305;244;85.33333333333333;2012-12-13;2016-06-26;184
flume-ng-core/src/main/java/org/apache/flume/lifecycle/LifecycleController.java;7;0;4;3;203;29;89;21;29.0;4.142857142857143;232;953;154.28571428571428;2011-08-12;2012-09-10;56
flume-core/src/main/java/com/cloudera/util/dirwatcher/DirWatcher.java;6;0;0;2;411;9;201;6;68.5;1.5;420;754;263.5;2011-08-02;2012-07-08;48
flume-ng-node/src/test/java/org/apache/flume/source/FlakeySequenceGeneratorSource.java;7;0;0;2;100;16;42;7;14.285714285714286;2.2857142857142856;116;953;160.42857142857142;2011-08-12;2012-03-08;29
flume-ng-channels/flume-file-channel/src/test/java/org/apache/flume/channel/file/TestFileChannel.java;52;2;2;7;3066;1993;402;293;58.96153846153846;38.32692307692308;5059;953;32.46153846153846;2011-09-23;2016-11-21;269
src/gen-java/com/cloudera/flume/handlers/scribe/fb_status.java;4;0;0;1;82;23;50;14;20.5;5.75;105;545;166.0;2011-08-02;2011-08-02;0
flume-ng-sinks/flume-ng-hbase-sink/src/main/java/org/apache/flume/sink/hbase/HbaseEventSerializer.java;2;0;0;2;67;6;63;6;33.5;3.0;73;244;127.0;2012-05-15;2016-06-26;214
flume-ng-sinks/flume-ng-hbase-sink/src/test/java/org/apache/flume/sink/hbase/IncrementAsyncHBaseSerializer.java;3;0;0;1;159;3;78;3;53.0;1.0;162;141;50.333333333333336;2013-10-04;2016-06-30;142
src/gen-java/com/cloudera/flume/handlers/scribe/FacebookService.java;5;0;0;1;230;426;222;423;46.0;85.2;656;545;135.6;2011-08-02;2011-08-02;0
flume-ng-sdk/src/main/java/org/apache/flume/api/HostInfo.java;6;0;0;2;125;23;96;10;20.833333333333332;3.8333333333333335;148;244;54.166666666666664;2012-06-08;2016-06-26;211
flume-ng-sinks/flume-ng-elasticsearch-sink/src/test/java/org/apache/flume/sink/elasticsearch/TestElasticSearchSinkCreation.java;3;0;0;2;99;1;49;1;33.0;0.3333333333333333;100;141;49.666666666666664;2013-04-30;2016-06-30;165
flume-ng-core/src/main/java/org/apache/flume/durability/WAL.java;1;0;0;1;9;0;9;0;9.0;0.0;9;9;9.0;2011-08-23;2011-08-23;0
flume-ng-embedded-agent/src/test/java/org/apache/flume/agent/embedded/TestEmbeddedAgent.java;7;0;0;2;499;15;194;13;71.28571428571429;2.142857142857143;514;141;27.0;2012-12-12;2016-06-30;185
